                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 0.5289,                0.38014,                  1.028,                0.91804,                0.88777,                0.91887,                0.77529,                0.69483,                0.63859,                 1.1523,             0.00011144,             0.00011144,             0.00011144
                     85,                 0.5237,                0.37425,                 1.0237,                0.91758,                0.89451,                0.92179,                0.77759,                 0.6859,                0.61828,                 1.1552,             0.00010525,             0.00010525,             0.00010525
                     86,                0.52557,                0.37269,                 1.0222,                0.90914,                0.89881,                0.91962,                0.77452,                0.69056,                0.64013,                 1.1576,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.52595,                 0.3716,                 1.0237,                0.91687,                0.88656,                0.91536,                0.77503,                0.69249,                0.64654,                 1.1514,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.52342,                0.36233,                 1.0202,                0.92672,                0.88169,                0.91993,                0.77666,                0.68269,                  0.624,                 1.1487,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                 0.5198,                 0.3614,                 1.0216,                0.90543,                0.89147,                0.91919,                0.77553,                0.68268,                0.63062,                  1.151,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.51955,                0.36325,                  1.021,                0.91774,                0.88187,                0.91541,                0.77575,                  0.686,                0.63784,                 1.1579,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.42934,                0.29429,                0.95068,                0.90573,                0.88326,                0.91503,                0.77307,                0.68135,                0.63413,                 1.1517,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.40697,                0.25606,                0.93997,                0.91988,                0.88628,                0.92042,                0.78109,                0.67822,                 0.6288,                 1.1515,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.39758,                0.25427,                0.92479,                0.92122,                0.88665,                0.91715,                0.78237,                0.67444,                0.62569,                  1.164,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.40171,                0.25637,                0.93918,                0.91595,                0.88466,                0.91857,                0.78582,                0.66482,                0.62292,                 1.1448,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.39417,                0.24603,                0.92628,                 0.9131,                0.89131,                0.92227,                0.78586,                0.66988,                0.63209,                 1.1511,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.38884,                0.24386,                0.92371,                 0.9341,                 0.8782,                0.92232,                0.78737,                0.66857,                0.62945,                 1.1547,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.38407,                 0.2412,                0.92428,                0.93958,                0.87294,                0.92308,                0.78899,                0.66865,                0.62732,                 1.1577,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.37783,                0.23624,                0.91857,                0.93062,                0.88081,                0.92191,                0.78769,                0.66877,                0.62094,                 1.1568,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.38169,                0.23895,                0.92124,                0.93206,                0.87875,                0.92242,                0.78781,                0.67213,                0.62905,                 1.1597,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                0.37267,                0.23602,                0.91568,                0.92641,                0.88302,                0.92144,                 0.7867,                 0.6703,                0.63178,                 1.1606,             1.2438e-05,             1.2438e-05,             1.2438e-05
